user_id,age,gender,region,subscription_type,payment_method,primary_device,account_age_months,favorite_genre,time_of_day,recommendation_source,session_count,avg_watch_time_minutes_per_week,watch_sessions_per_week,completion_rate,avg_rating_given,app_rating,recommendation_click_rate,days_since_last_login,churned,churn_probability,predicted,experiment
F4/wo3KcuCpRi+sCwPwfChNdeCG8WuV2BxFDueUpKZk=,27,Male,Asia,Basic,Gift Card,Mobile,48,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9344929023242295,1,indomain
HNXtosyPbXM9aMeCu+390uDxotllKd1YL/0sBJFAKRA=,27,Male,Asia,Basic,Paypal,Tablet,2,Unknown,Unknown,Friend,1,66,1,100,5,5,0,30,0,0.015147305554261237,0,indomain
i3SzslyVameaFJrex3//uGxzfHz0lP8+UkHfOeUsfpM=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015240117949454592,0,indomain
gJ6cN0mK5ZGyqkIPix6BZY2+sk55CSvgS9JJdaYcjsM=,20,Male,Asia,Basic,Gift Card,Mobile,44,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9504390968910809,1,indomain
z7uTT31Y5bfSebEixydEe8pNemqWIr235vPyfN9AiiM=,27,Male,Asia,Basic,Gift Card,Laptop,43,Unknown,Unknown,Search,1,54,1,100,2,5,0,0,1,0.9758265255347941,1,indomain
lf9yJmItU+HCTY1N3pFa4t/gnzRxzm0Rb3LI+dH0y1U=,55,Female,North America,Basic,Gift Card,Laptop,139,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.015648435029341674,0,indomain
pMjWuqttobFOqH1qYCgYT7yKx/h3oqSnwf45bzA7UDo=,25,Male,Asia,Basic,Gift Card,Laptop,133,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.917295637102855,1,indomain
ujKr25S6fTJvsnDEubHEE5OR3AL8YOdRtDrtoVutQN0=,26,Female,Europe,Basic,Gift Card,Laptop,141,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.018091291553044373,0,indomain
5U8LftRPrzEawMKn30ExPIgyYMpe8y0X3E3iqg53khE=,27,Male,Asia,Basic,Gift Card,Laptop,64,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.01664812337249914,0,indomain
zTIQz+E0bow7Xm6IvjqH6qS+cRjZpkwE9pP5c4CPNVk=,31,Female,Europe,Basic,Gift Card,Laptop,122,Unknown,Unknown,Trending,2,74,1,100,5,5,0,48,0,0.018248541434675022,0,indomain
zugCA1or9qKi1Sxtt778ee+jNdNtAlmaaOpU4ZeVIrk=,35,Male,Europe,Basic,Gift Card,Laptop,66,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.9469828330347657,1,indomain
YStNSYYcbqjGaIKJQMnm7a3FWf5Ci+3vxWskjELorW0=,27,Male,Asia,Basic,Gift Card,Laptop,0,Unknown,Unknown,Search,1,55,1,100,5,5,0,31,0,0.01503986037358211,0,indomain
t4f6aFTMWns3lXLD+DsCmRdBxTxcSNw8Q7wMZ5QVazE=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015240117949454592,0,indomain
c6ZxC6y/yZ1xs8VEdCIhcHllSJ68kbD3i+/smopIk7A=,31,Female,Africa,Basic,Gift Card,Laptop,49,Unknown,Unknown,Search,1,55,1,100,5,5,0,31,0,0.016581979305838577,0,indomain
kJPgGzdO4mW79MdZ88BNkJQWBRjkQ4Qf3WOVTDqltlg=,27,Male,Asia,Basic,Paypal,Mobile,13,Unknown,Unknown,Algorithm,1,66,1,100,5,5,0,37,0,0.021615492039567908,0,indomain
H1kC3gs9YjXTMN8qG0AqEJ18IJ7rHsKyLwD/+/P+SRg=,27,Male,Asia,Basic,Gift Card,Laptop,15,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015104638356301953,0,indomain
RCU44KSlvyPkTI9MdPxoyCCuh1ZbLLVhTL3jVySZ2Ds=,33,Male,Asia,Basic,Gift Card,Laptop,104,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.01875167850789136,0,indomain
FSk1VA+IpaHF8aji9dCOoOxrCysCOKIU1ORzfnadJDM=,32,Female,Europe,Basic,Gift Card,Mobile,6,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9595793205816868,1,indomain
Q8oskfsclvBQQTYa6I6GvrQXOW9J27r3EsCIBteJY6U=,27,Male,Asia,Basic,Gift Card,Mobile,11,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9516293385890633,1,indomain
Oy10o9ejb0s9q6XN5GCwaAaXKcLTJpoyThYbrWmC5z8=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015240117949454592,0,indomain
fDoUS0zcjWVQEkH8WtnIOA8sO2HjVNzXu0wl4aFFEcQ=,27,Male,Asia,Basic,Gift Card,Laptop,50,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.6573758560856504,0,indomain
HmJEFlnC1+RspKzo1iCUsNvjCYkJb3p7FAOC7ZQNZrE=,23,Female,Asia,Basic,Gift Card,Laptop,101,Unknown,Unknown,Trending,2,74,1,100,5,5,0,37,0,0.02085024536670132,0,indomain
s8f0xxXOjTTtJmfyliULiB/ZsGv4aVOmpzRSZkTpdgU=,27,Male,Asia,Basic,Gift Card,Laptop,50,Unknown,Unknown,Search,1,66,1,100,5,5,0,31,0,0.024918167067290532,0,indomain
V1o3i/eeqae3LakDCpMyAmsN+b/ePloKuNYxpSphz+Y=,24,Male,South America,Basic,Paypal,Mobile,37,Unknown,Unknown,Algorithm,3,122,1,23,5,2,0,60,1,0.9384011758031989,1,indomain
FwGQeiATtXup7I0DdQUhYJ8ZEn8sj9ZvdS+NjHRgWrY=,27,Male,Asia,Basic,Gift Card,Laptop,72,Unknown,Unknown,Search,1,66,1,100,5,5,0,32,0,0.4709243992433868,0,indomain
z8N22E+BpB3pl22sCPKVfz3mgWjr1h7SRztVmaHPPtg=,27,Male,Asia,Basic,Gift Card,Laptop,24,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.014965009367597582,0,indomain
un4OA+6FUwxP2u5cPspDGoE9LM5DN2WFhyXHnB9/wp0=,32,Male,Africa,Basic,Gift Card,Laptop,67,Unknown,Unknown,Trending,2,74,1,100,5,5,0,54,0,0.01823741104504368,0,indomain
ikdxsnu8f9V88fUb4F/+qe+d5AIlqhMYdG9s/XTWnWk=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,1,0.8575429612889873,1,indomain
WF1UhY6l1snUalXfDsI/QH9XvqQAMDF7UJXc55e09mA=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.015032549056871423,0,indomain
yRcNHqwEmbI6xhBmRqCGpGbpsqlNveRwH097P93jFUk=,24,Male,Africa,Basic,Gift Card,Laptop,102,Unknown,Unknown,Trending,3,74,1,100,5,5,0,60,1,0.9718553151095736,1,indomain
Ly/S6XTvo8DdLjl4G5YWYrR9xQOh78QOrM9cwb7TDUQ=,22,Male,Asia,Basic,Gift Card,Laptop,19,Unknown,Unknown,Trending,2,74,1,100,5,5,0,60,0,0.824106476468065,1,indomain
JjFFpF+/lFdn5n2xrLptaxl4Ok6QRX/DG5PgE/VyT+o=,22,Female,Asia,Basic,Gift Card,Mobile,5,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9533531077360914,1,indomain
I9Nk87XsB24yl14GZXlWgCRSxzMQRSjMuVW3AEs1lXk=,26,Male,Europe,Basic,Gift Card,Laptop,40,Unknown,Unknown,Search,1,54,1,100,2,5,0,0,1,0.9754652708973865,1,indomain
mtiglhETRIcBLIE7dZcHU0h+gSJBuPxty6jPrW+tmxQ=,35,Male,Europe,Basic,Gift Card,Laptop,88,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.9466034248629964,1,indomain
DGTNNNGuqtJlsvtk1HUDBXbAKcXwCx69+yKc2DzMX60=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.015032549056871423,0,indomain
BP1x7eflFD9D/naEXmt2rSDcyLi6KdzScpmkpy3NB/A=,27,Male,Asia,Basic,Gift Card,Laptop,17,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015102948596962207,0,indomain
WmUM9HVQTV9MnhgTpRKXVZCBVSG5S5iwwUKBrnHZi58=,27,Male,Asia,Basic,Gift Card,Laptop,21,Unknown,Unknown,Trending,2,74,1,100,5,5,0,45,0,0.019317950591273857,0,indomain
IcZy+/6kVilVtIkbQgXgxFeMRjHtHaRzLGx0HnHk8z8=,39,Male,Europe,Basic,Gift Card,Laptop,23,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.02176267600475945,0,indomain
TX9yQMZN95FPmqASkZka0s7wc6rLrVLdRmaoES0JnRY=,26,Male,Asia,Basic,Gift Card,Laptop,103,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.9540174805549618,1,indomain
pZVGfI3M3OMfv6J3bo3ECnwyAxWYB61eBCYRmnU5Ozs=,50,Male,Africa,Basic,Gift Card,Laptop,20,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.016256412968886243,0,indomain
VzPAiYxmYZcbKBc7GYFonWF5Hb6nqQgWEYtnb+fxNk0=,32,Female,Asia,Basic,Gift Card,Laptop,6,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.01534822664881998,0,indomain
yWUQt6NEpRlnz3N2g4mrWpdR/dggnKLReIwBymFx+vM=,20,Male,Europe,Basic,Gift Card,Mobile,36,Unknown,Unknown,Algorithm,2,74,1,100,5,5,0,37,0,0.01915171653148589,0,indomain
i8Wr5TKhKDcgWTjp9PLk6vLrQG458KpsKucWq0guSIA=,23,Male,North America,Basic,Gift Card,Mobile,25,Unknown,Unknown,Algorithm,2,74,1,100,5,5,0,55,0,0.018143860125067385,0,indomain
7WbfVK41tkk95XyTjkaa1a91fien/f/Tvi+enumFJUE=,23,Female,Asia,Basic,Gift Card,Mobile,2,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9592484570843828,1,indomain
5KauN4LRlNcOgp019I/JfBWOaEVZN0SkyfnzPrpGWlY=,27,Male,Asia,Basic,Gift Card,Laptop,43,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015330501857277213,0,indomain
t4+tNKBdirBtz4StndXewKxLC23OdW1OEwqWezCe2Ig=,27,Male,Asia,Standard,Gift Card,Mobile,8,Unknown,Unknown,Algorithm,1,206,1,23,5,2,0,60,1,0.9756704339715774,1,indomain
6OUIEQZ28uJOztKq33x8nfFVcT27J3EJ9tdtJ7gP77o=,27,Male,Asia,Basic,Gift Card,Mobile,1,Unknown,Unknown,Algorithm,1,87,1,23,5,2,0,30,0,0.07074078515559838,0,indomain
HS/6z1qrjMbl8CbsDIXNA8vbFbE83LybGYqcx6S1YaQ=,30,Female,Asia,Basic,Gift Card,Laptop,135,Unknown,Unknown,Trending,3,74,1,100,5,5,0,60,1,0.9730538377699139,1,indomain
mguKmLjD5/xW0yboJAQDE3T/7eYE8nv9umy9N50Ch1s=,34,Male,Europe,Basic,Gift Card,Laptop,139,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.016000492462415403,0,indomain
w6pbrHeaqVigFn12HtXHtLzM/+AUZKlRLTWNeMF1kJE=,27,Male,Asia,Standard,Gift Card,Laptop,51,Unknown,Unknown,Trending,1,194,1,23,5,2,0,60,1,0.9760617773014683,1,indomain
MDBdrLTDMSW6N5HBrQ5zMINuP+40NtsNIaczfyZk//M=,27,Male,Asia,Basic,Paypal,Laptop,21,Unknown,Unknown,Search,2,74,1,100,3,5,0,0,1,0.9701189379392064,1,indomain
qkXE0uXpCXsxf6Lo8xMyXsPs8l2Cd+87+P6g7PSneNU=,27,Male,Asia,Basic,Gift Card,Laptop,32,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.5542644387407716,0,indomain
8sRL5+1b+oiqF4b3pEFEtDW3ckk/HGi4x3dgr4ZCWG4=,27,Male,Asia,Basic,Gift Card,Laptop,3,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.9461701580876426,1,indomain
a0dosXPnSLY1CAxZHosVK6prFKNBT08UpmFZ0rovWFg=,37,Female,Asia,Basic,Gift Card,Mobile,46,Unknown,Unknown,Algorithm,2,87,1,100,5,5,0,60,1,0.9343183896327525,1,indomain
nnbhWXhZiIyvXYCOMfB98NJZ27GV4t37RRoXer+xJoQ=,41,Male,Asia,Basic,Gift Card,Laptop,84,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.021111106167650752,0,indomain
dNgnJGFn7uaFAvR9zGq3UX1P1MI+6jEwoUSmqg2/Kcc=,27,Male,Asia,Basic,Gift Card,Laptop,44,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015329602338945984,0,indomain
9GFxz1onpYe+bMW9W9Wpl+QtGYDQ3LaJbkzBb1I6nNk=,27,Male,Asia,Basic,Gift Card,Laptop,7,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.015045874751078594,0,indomain
PDfauRiz9Z9rJupgeIWdQpAKm0lomIfdOQAZNJZU9c0=,27,Male,Asia,Basic,Gift Card,Mobile,0,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9602911176371167,1,indomain
t44lsXRChCHDRFKZeup/BP9Knyt8OY5MF6RFwbt0tMU=,19,Male,Asia,Basic,Gift Card,Mobile,3,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.9617858368709818,1,indomain
gBs+6m2wmRcmciYaZfqv4bjsfIMKfgni5uOX10uqwlM=,27,Female,Asia,Basic,Gift Card,Laptop,14,Unknown,Unknown,Search,1,54,1,100,5,5,0,43,0,0.022117425447292845,0,indomain
yG05KlhZwqjivhXaXEyumi2/UQxMs+e8QUqmj64SXUQ=,53,Female,Asia,Basic,Gift Card,Laptop,81,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.9092428722117252,1,indomain
zEkZogt56MHyc52d0I1ZMeR4Q5+ewyukKjT2YIwI3x0=,27,Male,Asia,Basic,Gift Card,Laptop,58,Unknown,Unknown,Search,2,54,1,100,3,5,0,30,0,0.049380587174471365,0,indomain
rvWmCH3PDQNAoYBFyMDiDkn5iDfZlXx2eVilnlMa3P0=,27,Male,Asia,Basic,Gift Card,Laptop,12,Unknown,Unknown,Search,2,54,1,100,3,5,0,0,1,0.9700716450471203,1,indomain
bW7ghpD3D8VdQ7IEip17llE7EiIP3KeOiIPSvyjGpc4=,27,Male,Asia,Basic,Gift Card,Laptop,38,Unknown,Unknown,Search,1,55,1,100,5,5,0,31,0,0.015164601521807349,0,indomain
g0aL5CsFdWZq9T7bB/RSs13XWz3sTYPzAfpA+TR8CEs=,27,Male,Asia,Basic,Gift Card,Laptop,70,Unknown,Unknown,Search,1,74,1,100,5,5,0,32,0,0.34789066760576925,0,indomain
kA4clGCrmlC3I5aDex2fuvogDnmVPzksZjcwGUgtXHw=,21,Male,Asia,Basic,Gift Card,Mobile,28,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,0,0.9575113001181083,1,indomain
0rLSuNJnrLWWG96LC8smIPADF6a42POOMI+Ajb8B4OI=,27,Male,Asia,Basic,Gift Card,Laptop,61,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.017196771257897668,0,indomain
1z/Gn+7FqvGu/fyk4zcpmidA+Hp5NlHvm9yrPUrheQE=,27,Male,Asia,Basic,Gift Card,Laptop,74,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.7849635099479959,1,indomain
