user_id,age,gender,region,subscription_type,payment_method,primary_device,account_age_months,favorite_genre,time_of_day,recommendation_source,session_count,avg_watch_time_minutes_per_week,watch_sessions_per_week,completion_rate,avg_rating_given,app_rating,recommendation_click_rate,days_since_last_login,churned,churn_probability,predicted,experiment
UGqIYR4aQzFZU9Mxru0HkMzMbo+vkBuK7qedKPUaLvg=,21,Female,Asia,Basic,Gift Card,Laptop,109,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.5888990032932034,1,transfer
9fbP/BKpUJoX5+4Gixp+/2DIRtmRv0hlXNOoXC6tzdo=,37,Male,Asia,Basic,Paypal,Mobile,38,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,0,0.684821563823805,1,transfer
iQhSwyLiTcvw5C/QjTzU7MKFN8s3vE3RWHKKliW1FJI=,17,Male,Asia,Premium,Gift Card,Laptop,33,Unknown,Unknown,Trending,1,374,1,23,5,2,0,60,1,0.8823687965712563,1,transfer
NOnsTyuSiR3L5vhhcCzTnoUTgUIvDZJRtLk/f1wvP6w=,27,Male,Asia,Basic,Gift Card,Laptop,64,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.6440531132941463,1,transfer
yeJlIbn+izjzUZEPGJ+kIJq8IjEJagdPXmW4882E1AM=,55,Male,Asia,Basic,Gift Card,Laptop,117,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.5428616235365036,1,transfer
s/XhZAmQHwVrK4nyL2o5Gc6v1cJEsuat01CtCYIG8YQ=,26,Male,Asia,Basic,Gift Card,Mobile,10,Unknown,Unknown,Algorithm,1,87,1,100,5,5,0,30,0,0.7453448019927925,1,transfer
tVjYOip8vxL0fO4Um8ZQL3Z1CDkdbWFumCU+1vs8n+k=,27,Male,Asia,Basic,Gift Card,Laptop,39,Unknown,Unknown,Search,1,74,1,100,2,5,0,0,1,0.49936002084473713,1,transfer
7WrggQxjNqlVqK4Rd96IpdwVBP5T40UbZhRtGN7XVPw=,19,Male,Asia,Basic,Gift Card,Mobile,21,Unknown,Unknown,Algorithm,1,74,1,23,5,2,0,31,0,0.9338815411305584,1,transfer
F24vXQ9x5iZ/XdNssyonBVSg+vpKs1Xi3Hj8xrkJ1v4=,37,Female,Africa,Basic,Gift Card,Laptop,67,Unknown,Unknown,Trending,2,74,1,100,5,5,0,57,0,0.7413760471431128,1,transfer
CozyKX2s03pdzMaCmY6WzOIhOK9V7L/+xXgY+byhvFM=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,2,74,1,100,3,5,0,0,1,0.6333757852364321,1,transfer
cRytxDwsvN6rEIavp344iEBV6wWeGgCqIyRo/PAUv1o=,27,Male,Asia,Basic,Gift Card,Mobile,15,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,1,0.7639843107049573,1,transfer
35m+WDXqx/tvxfHzDOI0pTy5SgA8gdLEwI6utxpqA7E=,27,Male,Asia,Basic,Gift Card,Laptop,18,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7551875048693555,1,transfer
hCwI1O0FN/FEQk/912R1iB+TAS7GRMrFguBJDufGqwo=,27,Female,Asia,Basic,Gift Card,Laptop,144,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.5221429293987593,1,transfer
YevJdMn6uwz6VOrIx0/lL9GywiQgl0bnMBhXKVdz0PU=,27,Male,Asia,Basic,Gift Card,Laptop,2,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.7416002045060859,1,transfer
JVB9fPJBBYwy02+YKNDwk2d2IaxA6S8MO8npgvdVO9A=,20,Female,Asia,Basic,Gift Card,Mobile,18,Unknown,Unknown,Algorithm,1,74,1,23,5,2,0,30,0,0.9319512435332931,1,transfer
YtJpkhGdaFXZi+eiQRDO5HMy8T5dd/oQdd+0Wi8LFG4=,25,Female,Asia,Basic,Gift Card,Laptop,48,Unknown,Unknown,Trending,1,74,1,100,5,5,0,33,0,0.6853308091104925,1,transfer
JrFXHaYEYMK5TzUve05iztz6RHmqQXqDZdohTVZR21s=,27,Male,Asia,Basic,Gift Card,Laptop,65,Unknown,Unknown,Search,1,54,1,100,2,5,0,0,1,0.27034327378099926,1,transfer
IcYQeuUu/KzZ09qX01jehXgCyryX0FxvqlupM22mNaA=,59,Male,Asia,Basic,Gift Card,Laptop,136,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.48062099021670773,1,transfer
6pp+vcscjWTk6bUBcPyYVvEjsYJA1qDaawqCJNt0ItQ=,27,Male,Asia,Basic,Gift Card,Laptop,17,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.753257115660625,1,transfer
cmP85tX8wdQl9mdqCeeALxE6wDTeTqfhJKNF9catSZ8=,35,Female,Asia,Basic,Gift Card,Mobile,48,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,0,0.7631138455463862,1,transfer
v8l5sBLbH6dsBOhmk3/lWYmZOXVYzHVI8EJ6HLcmwTY=,27,Male,Asia,Basic,Gift Card,Laptop,19,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7574252638568253,1,transfer
DwSfitmI4BGzpLOMPnVUs1odftJ7AWNL1QXBWsvSWrM=,28,Male,Asia,Basic,Gift Card,Laptop,150,Unknown,Unknown,Trending,3,74,1,100,5,5,0,60,1,0.7189450059074953,1,transfer
a+mmVBWr/yhiMgnINBt6exUuzOJSELhh9iOYuDrhCVg=,27,Male,Asia,Basic,Gift Card,Laptop,40,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7225788529847144,1,transfer
6pK4qJOMSJnEnuKFOIBWopXZBS4pFYjXlRcctcBSsXw=,27,Male,Asia,Basic,Gift Card,Laptop,36,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.7334886280352803,1,transfer
Us3q253VXrfwirycew5NS8RFHOuzHSsZE3fIxWecZhM=,22,Male,Asia,Basic,Gift Card,Laptop,67,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.6508052422494384,1,transfer
+2oE8bo7+eQN36t4D/qg/zSo417vshFLxsPiOZzJ34Q=,27,Male,Asia,Basic,Gift Card,Mobile,6,Unknown,Unknown,Algorithm,1,87,1,100,5,5,0,30,0,0.7459989250572909,1,transfer
oofrBbLvGCKrzGleuljj1ot/DtGW6nVpzWy85pC4Ois=,33,Female,Asia,Basic,Gift Card,Laptop,63,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,1,0.6236908908050359,1,transfer
L0BJOEDRNpP467uj+sL9d4EFTHfbjFRjbSmDHEZpMeo=,27,Male,Asia,Basic,Gift Card,Laptop,72,Unknown,Unknown,Search,1,74,1,100,5,5,0,32,0,0.6286536513513843,1,transfer
AvIQikRfSFDuLbjDh/e7cQ5qkbo035DIRhWeqCz6mDA=,33,Female,Europe,Basic,Gift Card,Mobile,8,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,0,0.7406146106693914,1,transfer
R8asu8cJmKNdwsr+vLd7HghhczXZR2zZZMcyAwp/KfY=,27,Male,Asia,Basic,Gift Card,Laptop,41,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,0,0.7005322978413672,1,transfer
SmwOoTRP7z0sUS6Yorn33RWw+YO3OgexWwMJW8VIsQA=,36,Female,North America,Basic,Gift Card,Mobile,28,Unknown,Unknown,Algorithm,1,87,1,100,2,5,0,0,1,0.7248063921721083,1,transfer
OpDApqTMoJ7aNIlz+FLFPVmn6nhR0P1Vfc0f2IJ/tjU=,27,Male,Asia,Basic,Gift Card,Laptop,72,Unknown,Unknown,Search,1,54,1,100,2,5,0,0,1,0.2810204759507113,1,transfer
pPuCkjm7pDyZuZD+E8XaVbe4oK5+z9nbcch5O37USJg=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7423714621345415,1,transfer
vVaTQc5RQuXVJdIlpnSRJVLZ//A8Ou5t1Pf6JdA0pKM=,27,Male,Asia,Basic,Gift Card,Laptop,62,Unknown,Unknown,Search,1,74,1,100,5,5,0,32,0,0.6200695189520958,1,transfer
44G7KLTTKibsCswXtPwBUx8LWi9Qqna3qdOH2VVxOgQ=,56,Female,Asia,Basic,Gift Card,Laptop,65,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.6465538378176297,1,transfer
9pesrsolL7jyEXqmNAn+HJ+jKJyw28Itzt+J3/EQ7PU=,27,Male,Asia,Basic,Gift Card,Laptop,38,Unknown,Unknown,Search,1,54,1,100,5,5,0,33,0,0.7383554395395413,1,transfer
u22pelK973bmUhjkr7xLq7X6d0zX1tRM1k+lsqZ8QcU=,33,Male,Asia,Basic,Gift Card,Laptop,62,Unknown,Unknown,Search,1,66,1,100,5,5,0,31,0,0.6119919488451792,1,transfer
3dhITfxd9mFKRzBs7LfhAVvMSRJsjR7ybouV7ZZrpBk=,22,Male,North America,Basic,Gift Card,Laptop,30,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.738586846826593,1,transfer
+Ch50mAIgBnLMd3ilQdqUDSOuf6hkEPvYaxWIjKOsA0=,27,Male,Asia,Basic,Gift Card,Laptop,21,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.7460762441958536,1,transfer
uY4aOr6FI7ZTrsylc0r5wmdkcYjIrKNJe+gk+snRtOw=,27,Male,Asia,Basic,Gift Card,Laptop,18,Unknown,Unknown,Trending,1,74,1,23,5,2,0,30,0,0.9299843044281911,1,transfer
A7xy2tWEfdH+hX26+Hc9nvLIw3pbfAj5vSdYS43t7Hs=,32,Male,Europe,Basic,Gift Card,Laptop,79,Unknown,Unknown,Trending,1,74,1,100,5,5,0,33,0,0.5569139069987438,1,transfer
GyPozMuriQCegeG/GIPJlxQa6HPtT8ujyxs6uoeWLGE=,30,Male,Asia,Basic,Gift Card,Laptop,118,Unknown,Unknown,Trending,1,15,1,100,5,5,100,30,1,0.23552786641298637,0,transfer
MH+PjHknUJskcLc5zznBAwSmBt/Rq6y1bZjRp1DbKLk=,27,Male,Asia,Basic,Gift Card,Laptop,78,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.6415902729054839,1,transfer
RBLIWAcaQ4akJqvVixwmrGyY62lkEfD5sSRWedl89m8=,27,Male,Asia,Basic,Gift Card,Laptop,57,Unknown,Unknown,Search,1,74,1,100,5,5,0,32,1,0.6318246508987176,1,transfer
LQcYgCrERay+WSgmDf/ybxoP011a4jBPh9NsCGlGBpg=,27,Male,Asia,Basic,Gift Card,Laptop,9,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7514661501236745,1,transfer
8jdBWnodwwtCAS+5j4NmfOAeQPm+l4ntT0UfOMj3PXY=,27,Male,Asia,Basic,Gift Card,Laptop,33,Unknown,Unknown,Search,1,74,1,100,5,5,0,31,1,0.7281318560451191,1,transfer
3g7Dv3FtzN31YoXGsJtOt0hf05Eg/bkLGPVFQdTUVM8=,27,Male,Asia,Basic,Gift Card,Laptop,75,Unknown,Unknown,Search,1,54,1,100,5,5,0,32,0,0.6673064572767771,1,transfer
C1JVUyc5cKg08aDp/VUndJ9UEVqpEMpsBRuk7Cw0EIQ=,27,Male,Asia,Basic,Gift Card,Laptop,62,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.6447342166583584,1,transfer
veISWexdFHAd40DcW2SVOvq1wEcptjyioY3CC6ZSXSU=,24,Female,Asia,Basic,Gift Card,Mobile,41,Unknown,Unknown,Algorithm,1,74,1,23,5,2,0,60,1,0.9397220266260659,1,transfer
ahXxRhkD2vezlOhZRSO2jju06zsMq238dDtwuMBto80=,29,Male,Africa,Basic,Gift Card,Laptop,83,Unknown,Unknown,Search,4,74,1,100,5,5,0,60,1,0.685144028180465,1,transfer
nYW0eY+ZHJKBFHWlKqZMeB49BdDBEeKrCHqPY443c6U=,31,Male,Asia,Basic,Gift Card,Mobile,1,Unknown,Unknown,Algorithm,1,74,1,100,5,5,0,31,0,0.738600144029133,1,transfer
209C1hhNiZVmCUueYsqnx0aWf7MNbJseziiitColwoo=,27,Male,Asia,Basic,Gift Card,Laptop,77,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.6582041353143794,1,transfer
K437T8vmm2+O/Zo5b8kHhojo+Mx6a7zfCbXwVssYlo0=,35,Male,Africa,Basic,Gift Card,Laptop,136,Unknown,Unknown,Trending,2,74,1,100,5,5,0,55,0,0.6747986839950477,1,transfer
RjWawjXqe7KTtx7iEAszaV6lrlavYw4qfkPfepbeZqQ=,27,Male,Asia,Basic,Gift Card,Laptop,63,Unknown,Unknown,Search,1,54,1,100,5,5,0,30,0,0.6487611680609193,1,transfer
Uh8U3ZeB9Af7x8xdPP/kk2FfBGrQbzfwvflB14BZENs=,27,Male,Asia,Basic,Gift Card,Laptop,16,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7571437606200798,1,transfer
ziXcwqDC+hi6TLKeht01YWvtbzbzuREq9mPaRxFHOmo=,27,Male,Asia,Basic,Gift Card,Laptop,0,Unknown,Unknown,Search,1,55,1,100,5,5,0,31,0,0.7531563485390844,1,transfer
fgOGBfH2+dWu7Er27ZTRX69BaWgh7oSYkgbXMBr3mFU=,20,Male,Asia,Basic,Paypal,Mobile,17,Unknown,Unknown,Algorithm,1,87,1,100,5,5,0,31,0,0.7273432242549357,1,transfer
A4wBJP23DTu2zRxKiNNJLmNVJ8/m+cbDG7ec7yRt1Ho=,37,Female,Europe,Basic,Gift Card,Laptop,73,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.6783917547808919,1,transfer
EYK7T8kN5oDlYps8YMvN0MszzJB/F9VBFnEEwemp5nk=,27,Male,Asia,Basic,Gift Card,Laptop,22,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.7249968684002205,1,transfer
SuxDgmEEYZMccSI6wz0EGjXRpPsV7HXtdlmRAIrpTws=,47,Female,Asia,Basic,Gift Card,Laptop,83,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.6329253234273579,1,transfer
KvzQv7uTDVyxxxkbr9ZDYZC/2oQH3SjPlPX2Mj3/Z9o=,25,Male,Europe,Standard,Gift Card,Mobile,2,Unknown,Unknown,Algorithm,1,134,1,23,5,2,0,60,1,0.9273741723510821,1,transfer
DBn/AWX3a/Gzfy5zum7B6ou6RJvnS+fUaVHSN3+YHFA=,16,Female,Asia,Basic,Gift Card,Laptop,8,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.767009448804876,1,transfer
mR6M54Dl3dJZOYxSBYpQv4D8OX7dNEO0/6T+QV0A8WA=,27,Male,Asia,Basic,Gift Card,Laptop,44,Unknown,Unknown,Trending,1,74,1,100,5,5,0,30,0,0.6948442210142708,1,transfer
oExbtz+Am4AmNirhLBq+cQVPpTCLMxGrfveVktC8LX4=,22,Male,Asia,Standard,Debit Card,Laptop,47,Unknown,Unknown,Trending,1,135,1,23,5,2,0,60,1,0.9198422498490696,1,transfer
jdybOBMrl6tc4ym27L+laHUN0whqrVsB1+AvmoW9ZG4=,16,Female,Europe,Basic,Gift Card,Laptop,78,Unknown,Unknown,Trending,1,74,1,23,5,2,0,31,1,0.8852025421328755,1,transfer
AxfmnOSGET0OPx2/vV8RxlGB1eLx749ztNmJKUpQuiI=,24,Female,Asia,Basic,Gift Card,Mobile,3,Unknown,Unknown,Algorithm,1,87,1,23,5,2,0,30,0,0.930018147790412,1,transfer
Hjp0p06BeGg1r0PPHfsZMWvuZI2YRjmWLdLdDE2kWC8=,17,Female,Africa,Basic,Gift Card,Laptop,16,Unknown,Unknown,Trending,1,74,1,100,5,5,0,31,1,0.7644016833076184,1,transfer
X9JX+PrLrOuAbz/nMDDi2jk51Xm2/QANCAqapLaihaY=,27,Male,Asia,Basic,Gift Card,Laptop,1,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7531563485390844,1,transfer
UM9QyvZPsMOPvRpGyGSEChWsnCCbpxK57cwCISf1/Yw=,63,Female,Europe,Basic,Gift Card,Laptop,84,Unknown,Unknown,Trending,2,74,1,100,5,5,0,48,0,0.7320426185829488,1,transfer
bQNtFkNAFdlf5T6U0DPrndWKv6rPrUYU0AT1xo0r4Ug=,27,Male,Asia,Standard,Gift Card,Laptop,37,Unknown,Unknown,Trending,1,194,1,23,5,2,0,60,1,0.9042378360026537,1,transfer
ooghDqUNk34HBoOheNdN89oQ8KeVzXyszOpHFhdmGR8=,27,Male,Asia,Basic,Gift Card,Laptop,11,Unknown,Unknown,Search,1,54,1,100,5,5,0,31,0,0.7538439443176316,1,transfer
VJkCFfSmb8DysCZVe7J/w4dxk+gZt2+6WqugagpiqPI=,27,Male,Europe,Basic,Gift Card,Laptop,11,Unknown,Unknown,Trending,1,74,1,100,5,5,0,33,1,0.7493953694821011,1,transfer
160DEojN/QHufH4pBD57j0STdgRRK9vLW+8CXt38KCc=,15,Female,Asia,Basic,Gift Card,Mobile,16,Unknown,Unknown,Algorithm,1,74,1,23,5,2,0,32,0,0.9328128985466644,1,transfer
s5hcDyqvagsEscuLWDuNsXM3tB7/tALGU5C7BsEADNg=,27,Male,Asia,Premium,Gift Card,Laptop,13,Unknown,Unknown,Trending,1,734,1,23,5,2,0,60,1,0.845021814408867,1,transfer
